Non-Optimized Profile for Pan
=============================

Update or replace this file as new information becomes available.

Conditions of this profile:
   Non-optimized code.
   Run 1088, 34787 events, local I/O.
   Note that the cumulative time (7.2 sec) falls far short of the
   real time of the code, typically it is only 15% of the real time.


Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.28      6.05     0.02    86967     0.00     0.00  void destroy<TaEvent>(TaEvent *)
  0.28      6.07     0.02    86967     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::pop_front(void)
  0.28      6.09     0.02    86967     0.00     0.01  deque<TaEvent, __default_alloc_template<true, 0>, 0>::push_back(TaEvent const &)
  0.28      6.11     0.02    69574     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::front(void)
  0.28      6.13     0.02    52548     0.00     0.00  __deque_iterator<VaPair *, VaPair *&, VaPair **, 0>::buffer_size(void)
  0.28      6.15     0.02    52180     0.00     0.00  TaLabelledQuantity * __uninitialized_copy<TaLabelledQuantity const *, TaLabelledQuantity *, TaLabelledQuantity>(TaLabelledQuantity const *, TaLabelledQuantity const *, TaLabelledQuantity *, TaLabelledQuantity *)
  0.28      6.17     0.02    34900     0.00     0.00  TaEvent::Load(int const *)
  0.28      6.19     0.02    34794     0.00     0.00  TaEvent::TaEvent(void)
  0.28      6.21     0.02    34794     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::clear(void)
  0.28      6.23     0.02    34788     0.00     0.00  vector<unsigned int, __default_alloc_template<true, 0> >::~vector(void)
  0.28      6.25     0.02    34787     0.00     0.06  TaRun::Decode(void)
  0.28      6.27     0.02    17393     0.00     0.04  TaBeamAna::PairAnalysis(void)
  0.28      6.29     0.02    17393     0.00     0.04  VaAnalysis::ProcessPair(void)
  0.28      6.31     0.02    17392     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::pop_front_aux(void)
  0.28      6.33     0.02                             THaCodaFile::codaRead(void)
  0.28      6.35     0.02                             THaCodaFile::staterr(TString, int)
  0.14      6.36     0.01  1679683     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::begin(void)
  0.14      6.37     0.01  1234833     0.00     0.00  TaEvent::Idx(int const &) const
  0.14      6.38     0.01   944685     0.00     0.00  vector<TaCutInterval, __default_alloc_template<true, 0> >::end(void) const
  0.14      6.39     0.01   791392     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::end(void) const
  0.14      6.40     0.01   753860     0.00     0.00  iterator_traits<double *>::value_type * value_type<double *>(double * const &)
  0.14      6.41     0.01   612348     0.00     0.00  void destroy<pair<ECutType, int> >(pair<ECutType, int> *)
  0.14      6.42     0.01   473813     0.00     0.00  __cl__t15__copy_dispatch2ZPCt4pair2Z8ECutTypeZiZPt4pair2Z8ECutTypeZiPCt4pair2Z8ECutTypeZiT1Pt4pair2Z8ECutTypeZi
  0.14      6.43     0.01   417436     0.00     0.00  TaLabelledQuantity::TaLabelledQuantity(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const &, double, basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const &)
  0.14      6.44     0.01   380858     0.00     0.00  VaPair::GetLeft(void) const
  0.14      6.45     0.01   375656     0.00     0.00  void construct<double, double>(double *, double const &)
  0.14      6.46     0.01   358477     0.00     0.00  vector<TaCutInterval, __default_alloc_template<true, 0> >::begin(void) const
  0.14      6.47     0.01   347874     0.00     0.00  TaLabelledQuantity * __copy_d<TaLabelledQuantity const *, TaLabelledQuantity *, int>(TaLabelledQuantity const *, TaLabelledQuantity const *, TaLabelledQuantity *, int *)
  0.14      6.48     0.01   344236     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::end(void)
  0.14      6.49     0.01   344234     0.00     0.00  double * uninitialized_copy<double *, double *>(double *, double *, double *)
  0.14      6.50     0.01   314598     0.00     0.00  void __destroy<double *, double>(double *, double *, double *)
  0.14      6.51     0.01   314598     0.00     0.00  void destroy<double *>(double *, double *)
  0.14      6.52     0.01   313080     0.00     0.00  __cl__t15__copy_dispatch2ZPC18TaLabelledQuantityZP18TaLabelledQuantityPC18TaLabelledQuantityT1P18TaLabelledQuantity
  0.14      6.53     0.01   295695     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::deallocate(void)
  0.14      6.54     0.01   278306     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::vector(void)
  0.14      6.55     0.01   278288     0.00     0.00  VaPair::AddResult(TaLabelledQuantity const &)
  0.14      6.56     0.01   173936     0.00     0.00  TaLabelledQuantity * uninitialized_copy<TaLabelledQuantity *, TaLabelledQuantity *>(TaLabelledQuantity *, TaLabelledQuantity *, TaLabelledQuantity *)
  0.14      6.57     0.01   170632     0.00     0.00  TaEvent::GetCutsPassed(void) const
  0.14      6.58     0.01   152413     0.00     0.00  pair<ECutType, int> * __uninitialized_copy<pair<ECutType, int> const *, pair<ECutType, int> *, pair<ECutType, int> >(pair<ECutType, int> const *, pair<ECutType, int> const *, pair<ECutType, int> *, pair<ECutType, int> *)
  0.14      6.59     0.01   152413     0.00     0.00  __uninitialized_copy_aux__H2ZPCt4pair2Z8ECutTypeZiZPt4pair2Z8ECutTypeZi_X01T0X11G12__false_type_X11
  0.14      6.60     0.01   152347     0.00     0.00  pair<ECutType, int> * vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::allocate_and_copy<pair<ECutType, int> const *>(unsigned int, pair<ECutType, int> const *, pair<ECutType, int> const *)
  0.14      6.61     0.01   139402     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::end(void)
  0.14      6.62     0.01   139388     0.00     0.00  __cl__t15__copy_dispatch2ZPt4pair2Z8ECutTypeZiZPt4pair2Z8ECutTypeZiPt4pair2Z8ECutTypeZiN21
  0.14      6.63     0.01   139388     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::erase(pair<ECutType, int> *, pair<ECutType, int> *)
  0.14      6.64     0.01   139206     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::size(void) const
  0.14      6.65     0.01   139153     0.00     0.00  TaEvent::~TaEvent(void)
  0.14      6.66     0.01   139148     0.00     0.00  TaEvent::AddResult(TaLabelledQuantity const &)
  0.14      6.67     0.01   139146     0.00     0.00  pair<ECutType, int> make_pair<ECutType, int>(ECutType const &, int const &)
  0.14      6.68     0.01   139146     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::push_back(pair<ECutType, int> const &)
  0.14      6.69     0.01   104586     0.00     0.00  TaEvent::IsPhysicsEvent(void) const
  0.14      6.70     0.01   104359     0.00     0.00  __eq__Ct15__list_iterator3ZUiZRUiZPUiRCt15__list_iterator3ZUiZRUiZPUi
